"year","yFUND_emo","yFUND_nonEmo","CPI","yFUND_emo_2018","yFUND_nonEmo_2018","fundPercentage","fundNonPercentage"
1985,10394596,175613317,107.6,24257953.6967658,409830234.125641,5.58825473193713,94.4117452680629
1986,12436350,178856229,109.6,28493198.352646,409781488.097655,6.5012192658033,93.4987807341967
1987,13493607,217337132,113.6,29826929.3393398,480412633.847923,5.84567162001764,94.1543283799824
1988,14413292,253326899,118.3,30594070.2810144,537718999.384556,5.38331281014138,94.6166871898586
1989,19563297,340273454,124,39616780.8046694,689072953.335306,5.43671455059353,94.5632854494065
1990,26420998,358082857,130.7,50761266.6012701,687965661.612081,6.87145204304909,93.1285479569509
1991,28814228,432784309,136.2,53123747.0660499,797908733.333796,6.24227021759387,93.7577297824061
1992,31727657,448503133,140.3,56785721.7840271,802724705.760734,6.606751932753,93.393248067247
1993,29127625,422277554,144.5,50616958.6911765,733819029.427529,6.45265636174724,93.5473436382528
1994,30010401,460376231,148.2,50848999.7564575,780051917.933313,6.11974288075618,93.8802571192438
1995,30834843,470208960,152.4,50806069.036752,774755651.697638,6.1541212196172,93.8458787803828
1996,14816005,519364452,156.9,23711934.7835245,831204904.068604,2.77359547805396,97.226404521946
1997,41755015,622218644,160.5,65326956.7078193,973479483.108461,6.28865534558804,93.711344654412
1998,55626434,652237763,163,85694398.5425644,1004794281.92418,7.85834828710796,92.141651712892
1999,69015386,749597382,166.6,104023088.429184,1129826829.54306,8.43077321755138,91.5692267824486
2000,76365830,842052666,172.2,111358852.925726,1227905451.80756,8.31492727254482,91.6850727274552
2001,83340912,833040893,177.1,118167625.011767,1181154147.47911,9.09456206411693,90.9054379358831
2002,100442810,917561497,179.9,140199514.678544,1280745496.53796,9.86663900234363,90.1333609976564
2003,105845330,967385181,184,144448387.392989,1320202123.07265,9.86231093089004,90.13768906911
2004,117614849,1024693762,188.9,156346807.241096,1362137514.52903,10.2962411267335,89.7037588732665
2005,120707775,1064295931,195.3,155200037.157834,1368418629.52185,10.1862782697491,89.8137217302509
2006,120397788,1063554723,201.6,149963925.35375,1324732320.57719,10.1691399681486,89.8308600318514
2007,161615411,1258569510,207.342,195728607.855509,1524223813.5427,11.379885014284,88.620114985716
2008,179639961,1303562944,215.303,209513344.852728,1520340079.69702,12.1116241341234,87.8883758658766
2009,217240830,1530456194,214.537,254271725.151419,1791337920.76312,12.4301195811843,87.5698804188157
2010,223294297,1511801906,218.056,257139271.731936,1740947468.58579,12.8692747188266,87.1307252811734
2011,199509258,1322071074,224.939,222718920.456684,1475872575.13778,13.1119766603292,86.8880233396708
2012,198485961,1335364852,229.594,217084132.027958,1460488784.07608,12.94036938389,87.05963061611
2013,183833911,1222201152,232.957,198156663.630958,1317424523.30372,13.0746320513346,86.9253679486655
2014,185299896,1249343645,236.736,196548480.099655,1325184740.23813,12.916093141216,87.0839068587839
2015,177456407,1261361175,237.017,188005695.762536,1336345580.99514,12.3334889161787,87.6665110838213
2016,182583453,1325179085,240.007,191027691.410963,1386466830.12202,12.10956290519,87.89043709481
2017,176635042,1494085918,245.12,180949312.546891,1530578625.20898,10.5723843914665,89.4276156085335
2018,190312364,1579592242,251.107,190312364,1579592242,10.7526904757939,89.2473095242061
