year,count
2019,1267
2018,7782
2017,7457
2016,7080
2015,7074
2014,6616
2013,6183
2012,5667
2011,4927
2010,4316
2009,4215
2008,3840
2007,3469
2006,3134
2005,2759
2004,2521
2003,2316
2002,1993
2001,1859
2000,1809
1999,1577
1998,1430
1997,1356
1996,1249
1995,1098
1994,1171
1993,1094
1992,1023
1991,1048
1990,1130
1989,1163
1988,1009
1987,933
1986,812
1985,779
1984,644
1983,537
1982,518
1981,499
1980,476
1979,595
1978,561
1977,591
1976,534
1975,489
1974,512
1973,524
1972,512
1971,467
1970,428
1969,511
1968,468
1967,440
1966,352
1965,635
1964,748
1963,453
1962,298
1961,261
1960,282
1959,320
1958,301
1957,298
1956,310
1955,338
1954,309
1953,285
1952,216
1951,197
1950,154
