year,count
2019,330
2018,2069
2017,2046
2016,2102
2015,2175
2014,2059
2013,2157
2012,1952
2011,1958
2010,1803
2009,1939
2008,1778
2007,1558
2006,1502
2005,1154
2004,1025
2003,898
2002,990
2001,889
2000,822
1999,633
1998,680
1997,682
1996,710
1995,800
1994,839
1993,811
1992,876
1991,962
1990,1021
1989,669
1988,379
1987,366
1986,224
1985,197
1984,183
1983,166
1982,169
1981,139
1980,152
1979,118
1978,131
1977,138
1976,111
1975,95
1974,156
1973,103
1972,101
1971,80
1970,84
1969,90
1968,63
1967,113
1966,76
1965,121
1964,106
1963,65
1962,24
1961,17
1960,10
1959,14
1958,14
1957,7
1956,8
1955,7
1954,7
1953,7
1952,6
1951,7
1950,7
