year,count
2019,40
2018,203
2017,236
2016,223
2015,199
2014,239
2013,213
2012,178
2011,177
2010,161
2009,167
2008,145
2007,141
2006,94
2005,80
2004,61
2003,52
2002,46
2001,36
2000,34
1999,26
1998,25
1997,30
1996,37
1995,17
1994,27
1993,22
1992,32
1991,21
1990,27
1989,13
1988,6
1987,6
1986,6
1985,4
1984,4
1983,2
1982,2
1981,2
1980,1
1979,5
1978,3
1977,4
1976,5
1975,3
1974,7
1973,4
1972,3
1971,1
1970,1
1969,1
1968,1
1967,1
1965,6
1964,6
1963,7
1960,1
