year,count
2020,15
2019,9821
2018,84009
2017,79902
2016,80514
2015,83125
2014,80009
2013,74969
2012,69605
2011,63926
2010,59757
2009,56711
2008,54297
2007,51215
2006,47112
2005,42510
2004,39344
2003,36037
2002,32300
2001,31479
2000,29213
1999,27419
1998,25477
1997,24736
1996,22564
1995,21707
1994,21465
1993,20761
1992,20085
1991,19436
1990,18722
1989,17590
1988,16593
1987,14588
1986,13641
1985,12682
1984,12259
1983,11501
1982,11315
1981,10615
1980,10568
1979,11041
1978,10428
1977,9711
1976,9242
1975,8977
1974,8361
1973,7751
1972,7088
1971,6544
1970,6163
1969,5914
1968,5961
1967,5468
1966,4701
1965,6092
1964,6295
1963,4216
1962,3008
1961,2754
1960,2558
1959,2527
1958,2563
1957,2322
1956,2236
1955,2198
1954,2208
1953,1927
1952,1848
1951,1836
1950,1537
