year,count
2020,1
2019,675
2018,5277
2017,5052
2016,5032
2015,5082
2014,4881
2013,4494
2012,4305
2011,3624
2010,3459
2009,3249
2008,3147
2007,2862
2006,2691
2005,2292
2004,1995
2003,1813
2002,1475
2001,1480
2000,1273
1999,1330
1998,1065
1997,1207
1996,1052
1995,969
1994,965
1993,940
1992,890
1991,907
1990,852
1989,737
1988,631
1987,589
1986,546
1985,530
1984,467
1983,529
1982,533
1981,529
1980,473
1979,515
1978,430
1977,411
1976,434
1975,367
1974,315
1973,299
1972,236
1971,240
1970,196
1969,187
1968,226
1967,268
1966,265
1965,321
1964,336
1963,231
1962,104
1961,69
1960,49
1959,50
1958,43
1957,47
1956,38
1955,42
1954,34
1953,38
1952,28
1951,28
1950,32
