year,count
2019,37
2018,216
2017,214
2016,218
2015,203
2014,188
2013,173
2012,178
2011,128
2010,125
2009,117
2008,115
2007,95
2006,113
2005,69
2004,72
2003,52
2002,44
2001,40
2000,32
1999,39
1998,20
1997,23
1996,10
1995,11
1994,12
1993,9
1992,15
1991,16
1990,6
1989,3
1988,5
1987,7
1986,2
1985,4
1984,2
1983,9
1982,2
1981,11
1980,7
1979,8
1978,5
1977,6
1976,10
1975,7
1974,9
1973,11
1972,6
1971,7
1970,9
1969,12
1968,8
1967,10
1966,13
1965,21
1964,17
1963,20
1962,1
1961,2
1960,1
1959,3
1957,1
1955,2
1954,1
1953,2
