year,count
2019,646
2018,4102
2017,3867
2016,4089
2015,4075
2014,4054
2013,4194
2012,3709
2011,3557
2010,3196
2009,3145
2008,2951
2007,2627
2006,2542
2005,2173
2004,2161
2003,1803
2002,1643
2001,1691
2000,1559
1999,1320
1998,1297
1997,1211
1996,1182
1995,1128
1994,972
1993,968
1992,954
1991,889
1990,894
1989,735
1988,587
1987,531
1986,462
1985,502
1984,446
1983,413
1982,422
1981,371
1980,399
1979,337
1978,333
1977,254
1976,272
1975,258
1974,331
1973,376
1972,295
1971,243
1970,201
1969,164
1968,318
1967,290
1966,228
1965,287
1964,220
1963,134
1962,102
1961,65
1960,47
1959,49
1958,55
1957,51
1956,38
1955,30
1954,41
1953,22
1952,50
1951,26
1950,28
