year,count
2019,93
2018,412
2017,395
2016,413
2015,395
2014,440
2013,428
2012,350
2011,329
2010,274
2009,283
2008,266
2007,215
2006,200
2005,138
2004,164
2003,120
2002,78
2001,98
2000,66
1999,66
1998,50
1997,42
1996,32
1995,35
1994,41
1993,38
1992,40
1991,26
1990,17
1989,12
1988,18
1987,14
1986,10
1985,12
1984,13
1983,12
1982,8
1981,8
1980,3
1979,10
1978,8
1977,4
1976,8
1975,1
1974,8
1973,10
1972,7
1971,5
1970,4
1969,9
1968,10
1967,6
1966,1
1965,10
1964,10
1963,2
1961,3
1960,1
1959,3
1957,3
1956,2
1955,1
1954,2
1953,1
1952,1
1951,1
