year,count
2020,6
2019,1571
2018,10819
2017,10346
2016,9882
2015,10107
2014,9711
2013,9760
2012,9130
2011,8745
2010,8318
2009,8539
2008,8018
2007,7243
2006,6814
2005,6132
2004,5480
2003,4911
2002,4570
2001,4374
2000,4179
1999,3629
1998,3574
1997,3382
1996,3173
1995,2885
1994,2773
1993,2751
1992,2645
1991,2391
1990,2439
1989,2339
1988,2024
1987,2109
1986,1956
1985,2013
1984,2115
1983,2057
1982,2091
1981,1977
1980,2053
1979,2078
1978,2043
1977,1638
1976,1642
1975,1650
1974,1738
1973,1613
1972,1485
1971,1299
1970,1147
1969,1419
1968,1339
1967,1107
1966,939
1965,1118
1964,1073
1963,699
1962,471
1961,359
1960,288
1959,273
1958,311
1957,271
1956,242
1955,238
1954,238
1953,237
1952,210
1951,203
1950,110
