year,count
2019,98
2018,646
2017,647
2016,558
2015,565
2014,537
2013,463
2012,457
2011,383
2010,411
2009,465
2008,411
2007,364
2006,303
2005,211
2004,199
2003,171
2002,131
2001,156
2000,74
1999,79
1998,66
1997,76
1996,77
1995,47
1994,40
1993,48
1992,44
1991,32
1990,29
1989,23
1988,14
1987,25
1986,21
1985,27
1984,23
1983,8
1982,15
1981,8
1980,13
1979,18
1978,17
1977,25
1976,17
1975,29
1974,30
1973,36
1972,23
1971,26
1970,17
1969,43
1968,23
1967,24
1966,15
1965,28
1964,48
1963,18
1962,10
1961,10
1960,8
1959,3
1958,9
1957,12
1956,5
1955,7
1954,9
1953,3
1951,1
1950,4
